train_loss;val_loss;val_acc;dt
3,0970152879;2,9762103679;0,0598516949;31,338791132
3,0623974216;2,9127458233;0,0545550847;31,056317091
2,9523649097;2,6995982316;0,1705508475;31,0843009949
2,8180203819;2,622279842;0,1763771186;31,9441900253
2,6887321246;2,3580598387;0,2791313559;33,6087400913
2,5770606834;2,2740901587;0,313559322;34,9762818813
2,456696614;2,2373320066;0,2992584746;35,1103708744
2,327209875;2,0028305761;0,3967161017;35,2484328747
2,2206618303;1,9071065167;0,4200211864;36,5813310146
2,1609612596;1,8245865248;0,4438559322;38,3113298416
2,0670370364;1,7397304086;0,4804025424;37,6408998966
2,0031274891;1,7065114995;0,4830508475;38,4129419327
1,9900523502;1,6276111583;0,5174788136;37,9313070774
1,9058723664;1,6076443781;0,5143008475;38,0882608891
1,8337020534;1,5355646176;0,5338983051;37,7851109505
1,784054178;1,4858696824;0,5476694915;40,196491003
1,7902490187;1,4908419726;0,5503177966;38,5533869267
1,7034527117;1,4181129074;0,5672669492;39,2488031387
1,6633946973;1,3649434882;0,5842161017;40,1519479752
1,6357035881;1,3721489846;0,5836864407;39,236189127
1,5947808659;1,2901551511;0,5990466102;39,8008768559
1,5887558019;1,2848739473;0,6069915254;40,0676560402
1,5798002219;1,2848421002;0,6048728814;38,800424099
1,5454617691;1,2832654593;0,6054025424;39,2963469028
1,5179266813;1,2851391707;0,6069915254;39,9095509052
1,4891825622;1,2554576357;0,6207627119;40,1849799156
1,4642895576;1,1973558816;0,6334745763;39,3388988972
1,4283027518;1,1578740811;0,6382415254;40,0977659225
1,4303384703;1,3086875435;0,59375;39,1177480221
1,4134016258;1,1482204775;0,6419491525;39,684784174
1,4359709787;1,1453724504;0,6313559322;39,3006529808
1,3432459074;1,1370068991;0,6424788136;39,397785902
1,376135264;1,080896221;0,6679025424;39,1754808426
1,3529440829;1,1554999382;0,6493644068;39,8333480358
1,3508469716;1,0861809496;0,6626059322;40,1848938465
1,3460418665;1,0750805513;0,6673728814;38,7980599403
1,3051563346;1,0824667832;0,65625;39,6036999226
1,3205979663;1,0171808691;0,6790254237;39,6237859726
1,3160850158;1,0954076395;0,656779661;40,1704919338
1,2738319898;1,0638407135;0,6679025424;39,5858309269
1,2857603154;0,9919940274;0,6949152542;39,2107970715
1,2676473263;1,0126388619;0,6912076271;40,0045809746
1,255389106;1,0005119221;0,686970339;40,0040428638
1,2592896542;0,9562206001;0,7055084746;40,0134570599
1,2425064328;0,9764224362;0,6954449153;39,9417669773
1,2033866087;0,9850060707;0,7007415254;38,5815460682
1,1969955906;0,9318483351;0,7113347458;40,5627119541
1,2052569816;0,9626604238;0,7018008475;40,0052399635
1,1964192817;0,9418066301;0,7060381356;40,6582970619
1,2020533663;0,9105859975;0,719279661;41,0053107738
1,1972543556;0,9115334507;0,7266949153;40,6432631016
1,1457396188;0,9264631403;0,7256355932;40,6959350109
1,1609310222;0,923579316;0,7150423729;40,6321771145
1,1476370394;0,9050660426;0,7155720339;40,5802400112
1,146059745;0,9238151256;0,7171610169;40,7113740444
1,1356485978;0,8878223886;0,7282838983;40,6337790489
1,1178012776;0,9013038399;0,718220339;40,548473835
1,1038058454;0,9329279631;0,7145127119;40,3748590946
1,1224678263;0,9038933617;0,7261652542;40,4615240097
1,098092618;0,8584665646;0,7335805085;40,5382790565
1,1136161411;0,8701138926;0,7394067797;40,4832470417
1,0837424561;0,8498852197;0,7261652542;40,5837609768
1,0771420404;0,8556295103;0,7431144068;40,6939408779
1,101431441;0,8475562162;0,7394067797;40,7516839504
1,0890521452;0,8616507038;0,7420550847;41,409350872
1,0656349856;0,892401864;0,7304025424;40,8828320503
1,0394563577;0,9284601085;0,718220339;40,7987031937
1,0578732571;0,8493719263;0,7462923729;41,5064408779
1,0682321459;0,8248402264;0,7574152542;41,6663777828
1,0465512428;0,8470357707;0,7478813559;41,1136348248
1,0385296077;0,8121152268;0,7531779661;40,6585829258
1,0342073;0,8289434198;0,7558262712;41,117536068
1,0211668319;0,8156870442;0,7526483051;40,8203480244
1,0321001683;0,82815171;0,751059322;40,767786026
1,0144346666;0,8143840771;0,750529661;40,4948952198
1,0557041413;0,8577983026;0,7468220339;40,5517971516
1,0073135746;0,827615847;0,7542372881;40,5823068619
1,0123697887;0,814139794;0,7473516949;40,5974850655
0,9913991398;0,795586541;0,7600635593;40,583507061
0,987464757;0,8062311482;0,7574152542;40,5208771229
0,9775145046;0,7894783843;0,7611228814;40,477421999
1,0026599056;0,7977570598;0,7611228814;40,4914448261
0,9820029196;0,7847813934;0,7711864407;40,4331550598
0,9452375726;0,775792133;0,7669491525;40,3731999397
0,9807386526;0,7989548723;0,7627118644;40,2502200603
0,9781181189;0,7473490162;0,7738347458;40,5202388763
0,9696782096;0,7785789062;0,7711864407;40,5491011143
0,9685735998;0,7790906672;0,7674788136;40,4049041271
0,9402018094;0,7950307424;0,7701271186;40,4655001163
0,9519660838;0,7554955654;0,7717161017;40,5248701572
0,9430255052;0,7641785135;0,7733050847;40,3699100018
0,9597708704;0,766357183;0,7658898305;40,4948618412
0,9371653892;0,828820908;0,7388771186;40,4403040409
0,9401702181;0,7597441507;0,7711864407;40,476473093
0,915987944;0,7632705473;0,7733050847;40,3287379742
0,9272321743;0,830065652;0,7542372881;40,4880819321
0,9343373798;0,761721412;0,7791313559;40,3901891708
0,9089669396;0,7644514992;0,7722457627;40,3653650284
0,9226054566;0,7525341667;0,7786016949;40,4494450092
0,9346836764;0,773422767;0,7690677966;40,2932958603
0,8854703261;0,770030592;0,7743644068;40,4015059471
0,9119701731;0,7621577114;0,7733050847;40,5653471947
0,9178026652;0,8921481123;0,7335805085;40,4273269176
0,9040479743;0,7353157378;0,7770127119;40,0841908455
