training_loss;validation_loss;validation_accuracy;epoch_time
3.096047;2.974869;0.071579;30.773475
3.075896;2.947820;0.099474;29.833663
3.023265;2.812085;0.187368;30.452837
2.850421;2.530048;0.247895;29.962889
2.683612;2.419336;0.252632;30.285601
2.536293;2.185569;0.336842;30.272332
2.350408;2.045801;0.398947;30.379778
2.195581;1.839777;0.450526;30.066637
2.088132;1.766453;0.475263;30.050728
1.994932;1.685732;0.481579;29.859195
1.925892;1.651681;0.507895;29.773272
1.841760;1.610917;0.500000;30.193351
1.782632;1.591051;0.491579;30.138250
1.729912;1.472659;0.546316;30.241920
1.696885;1.402343;0.566842;29.868233
1.652173;1.454648;0.542632;30.057891
1.606053;1.339489;0.575263;30.704191
1.569329;1.457345;0.534211;29.909529
1.537523;1.322705;0.580526;29.731590
1.517724;1.242392;0.612105;30.006975
1.473672;1.266321;0.600526;29.899748
1.442614;1.257412;0.606316;29.752470
1.422074;1.206555;0.617368;30.152774
1.365040;1.188528;0.642632;29.808678
1.367416;1.245210;0.607368;30.227693
1.348400;1.131371;0.644737;29.591927
1.316835;1.085026;0.651053;29.815637
1.302829;1.253904;0.609474;29.707455
1.271679;1.078844;0.669474;29.837060
1.289966;1.073799;0.668421;29.190808
1.229075;1.018848;0.677368;29.946199
1.222954;1.090726;0.667895;29.986853
1.214562;1.065212;0.668947;29.735711
1.204586;1.050377;0.676842;29.530046
1.180029;0.980091;0.684211;29.898218
1.163515;1.008919;0.684737;29.409576
1.161647;0.964318;0.707368;30.237838
1.139272;0.969866;0.699474;29.647593
1.127888;1.091552;0.653684;29.124185
1.110148;1.008178;0.685789;29.116529
1.095935;0.922822;0.712105;29.970205
1.091042;0.940959;0.720000;28.914825
1.055482;0.953451;0.695263;30.179081
1.052121;0.918287;0.714737;30.484445
1.039967;0.974414;0.706842;29.498931
1.040220;0.950372;0.722632;29.520595
1.037315;0.949416;0.711053;29.716199
1.033032;0.935428;0.716842;29.290474
0.991768;0.952236;0.714211;28.789927
0.989942;0.929384;0.710000;29.413163
0.988873;0.885791;0.742632;29.722702
0.983098;0.901270;0.727368;29.714446
0.974789;0.929113;0.717895;29.461161
0.946838;0.901649;0.731579;29.574572
0.952924;0.895691;0.722105;28.700434
0.934938;0.863278;0.747368;30.151969
0.899789;0.860432;0.741579;29.472176
0.914788;0.849512;0.744211;29.318216
0.904244;0.851810;0.753684;29.416046
0.919790;0.868067;0.744737;29.666611
0.892232;0.851493;0.751053;29.044350
0.883801;0.817666;0.767368;29.519194
0.875230;0.848552;0.752632;29.794849
0.862538;0.839825;0.753684;28.638775
0.874093;0.806569;0.755263;29.036481
0.873445;0.853926;0.742632;28.748489
0.863495;0.806653;0.764737;29.148529
0.837834;0.817630;0.760526;29.172248
0.811650;0.810678;0.762632;29.233371
0.828505;0.856805;0.747368;28.783537
0.817364;0.857089;0.746842;28.852196
0.796020;0.802626;0.765789;29.101608
0.837787;0.801479;0.758947;28.459166
0.791636;0.810309;0.750526;29.053724
0.800370;0.799494;0.760000;28.505566
0.771532;0.831562;0.750000;29.876263
0.814054;0.891468;0.733158;29.914399
0.782492;0.781173;0.772105;28.523786
0.792576;0.823639;0.758421;29.564950
0.760147;0.831203;0.754211;28.503897
0.747219;0.824351;0.755263;28.826842
0.746837;0.824909;0.758421;29.768743
0.744481;0.794609;0.764211;28.415471
0.752827;0.788474;0.771053;29.018807
0.764675;0.831440;0.761579;28.634060
0.727767;0.806230;0.763684;29.937826
0.739973;0.775648;0.771053;28.583042
0.713556;0.870348;0.742105;29.175610
0.733052;0.786933;0.768421;29.337649
0.711491;0.772062;0.777895;28.449325
0.700107;0.782950;0.777368;28.592206
0.695934;0.818130;0.766842;29.095264
0.723137;0.755986;0.780526;28.693860
0.700288;0.817512;0.764737;28.489819
0.670568;0.775156;0.766316;28.835380
0.694937;0.767738;0.784211;29.501898
0.668545;0.792779;0.780000;28.717677
0.685490;0.786436;0.775263;28.944624
0.653325;0.745463;0.784211;28.995139
0.662718;0.766251;0.789474;29.224874
