training_loss;validation_loss;validation_accuracy;epoch_time
1.433759;1.388668;0.750500;5.297273
1.320050;1.378716;0.751500;5.089794
1.482960;1.367127;0.752500;5.072979
1.406809;1.356263;0.753000;5.069172
1.321002;1.346031;0.754500;5.066770
1.349321;1.336994;0.755500;5.296686
1.413024;1.326598;0.758000;5.326994
1.313578;1.315311;0.758500;5.125431
1.245371;1.306623;0.757500;5.076564
1.250006;1.297362;0.757000;5.108049
1.321545;1.288306;0.757000;5.076432
1.222490;1.279139;0.757500;5.071905
1.219389;1.269923;0.757000;5.070979
1.350531;1.260322;0.758000;5.086779
1.226674;1.252416;0.758000;5.076839
1.143265;1.242603;0.758000;5.079419
1.108675;1.233071;0.758000;5.101166
1.209578;1.224521;0.757500;5.106318
1.095477;1.216349;0.758000;5.075309
1.172630;1.206570;0.758000;5.078408
1.163868;1.197028;0.758000;5.081561
1.153536;1.188010;0.757000;5.069649
0.998161;1.179358;0.758000;5.075855
1.115732;1.170743;0.757500;5.108101
1.186846;1.161826;0.757000;5.069136
1.079330;1.152770;0.757000;5.074371
1.091212;1.144580;0.756500;5.146976
0.975871;1.136007;0.757000;5.212590
1.026057;1.126950;0.756500;5.213787
0.892331;1.118509;0.756500;5.073667
0.987308;1.110901;0.756500;5.117777
0.964567;1.104505;0.757000;5.070347
1.008212;1.094715;0.757000;5.071149
0.937725;1.085890;0.757000;5.075208
0.994416;1.078803;0.758000;5.077254
0.845948;1.070357;0.758500;5.069056
0.995313;1.062101;0.759000;5.168783
0.881272;1.053801;0.758000;5.239414
0.911523;1.046312;0.758500;5.169383
0.915747;1.038341;0.757000;5.073964
0.803235;1.029579;0.757500;5.075571
0.758160;1.022389;0.757500;5.074826
0.891506;1.014014;0.758500;5.124423
0.687786;1.006871;0.757500;5.065204
0.857247;0.999816;0.757500;5.070421
0.763269;0.991181;0.758000;5.069386
0.818289;0.982627;0.757500;5.069920
0.692850;0.974500;0.758000;5.070748
0.630600;0.967362;0.758500;5.089032
0.730260;0.959493;0.758000;5.072401
