training_loss;validation_loss;validation_accuracy;epoch_time
1.639406;1.420224;0.749500;17.578043
1.316960;1.181409;0.749000;17.600328
0.990064;0.962788;0.748500;17.784036
0.768849;0.835529;0.754500;17.851130
0.670640;0.815344;0.762500;17.743979
0.695268;0.810907;0.766500;17.927761
0.668237;0.806324;0.767500;17.529255
0.664609;0.802166;0.768000;17.771967
0.662837;0.803453;0.766500;17.764246
0.645903;0.795794;0.771000;17.878411
0.670989;0.797534;0.770000;17.818582
0.639671;0.795282;0.773000;17.621347
0.640611;0.794926;0.773000;17.940989
0.672218;0.794687;0.773000;17.746647
0.640573;0.792194;0.774500;17.782367
0.638930;0.790175;0.775500;17.793885
0.641769;0.790942;0.774500;17.795863
0.654038;0.788983;0.776500;18.083052
0.633188;0.790523;0.776000;17.751316
0.631376;0.790829;0.776000;17.814136
0.644150;0.788090;0.774500;17.394808
0.630662;0.790049;0.774000;17.296715
0.651972;0.786657;0.775000;17.935475
0.637480;0.784345;0.777500;18.814121
0.633740;0.784155;0.776000;19.015442
0.633508;0.783052;0.779000;18.966373
0.620912;0.783508;0.775000;18.948081
0.647254;0.783098;0.776500;19.003706
0.618885;0.782401;0.777500;18.099092
0.627183;0.785549;0.776500;17.780183
0.641811;0.783676;0.777500;17.855681
0.623176;0.783884;0.776500;17.831161
0.639220;0.784968;0.779500;17.866323
0.625448;0.781519;0.778500;17.873504
0.637236;0.784462;0.776000;18.028813
0.627002;0.783086;0.776500;19.011824
0.637375;0.781352;0.778000;18.994084
0.629450;0.780787;0.778500;19.000727
0.643000;0.781802;0.776000;19.094475
0.628931;0.780258;0.775500;19.069995
0.629348;0.779680;0.777000;19.007618
0.650854;0.779780;0.776000;18.932509
0.614949;0.782553;0.776500;19.003442
0.626468;0.779049;0.777000;17.966120
0.629192;0.781233;0.775500;17.782762
0.613823;0.781880;0.777000;17.810078
0.614959;0.781559;0.774500;18.939456
0.634658;0.780237;0.777500;18.931788
0.643847;0.780824;0.776500;18.978497
0.617535;0.780516;0.780000;18.964131
0.619522;0.781075;0.776000;18.437795
0.614595;0.783396;0.775000;18.154181
0.644786;0.779033;0.774500;18.122606
0.620203;0.780460;0.774500;19.007756
0.630419;0.781507;0.775500;19.012110
0.624089;0.781503;0.774000;19.083767
0.631420;0.779068;0.776000;19.038051
0.625645;0.778273;0.778000;19.578052
0.625011;0.779568;0.776000;18.897528
0.623385;0.781563;0.775000;19.443286
0.618369;0.779889;0.776000;18.936860
0.608574;0.780903;0.778000;18.991431
0.615206;0.779358;0.778500;18.941833
0.619695;0.779750;0.779500;18.946017
0.618138;0.781153;0.776500;18.938085
0.625072;0.778475;0.778500;18.968318
0.624751;0.780656;0.776500;18.931612
0.610020;0.780267;0.777000;18.972571
0.623047;0.779266;0.776500;18.946233
0.607517;0.779898;0.777500;18.958056
0.602003;0.779591;0.775000;18.954544
0.604456;0.780308;0.776000;19.108551
0.617448;0.779652;0.777500;19.042393
0.632604;0.780364;0.775500;18.985157
0.618168;0.778857;0.775500;18.980913
0.620281;0.778696;0.776000;18.939992
0.621258;0.780571;0.776500;18.951094
0.617466;0.779128;0.776500;18.930242
0.623198;0.780007;0.778500;18.934427
0.615116;0.779584;0.777500;18.926767
0.600235;0.779390;0.777500;18.988808
0.618284;0.779965;0.779000;17.956344
0.641537;0.777346;0.778000;19.354042
0.626755;0.777565;0.776500;17.800020
0.614916;0.778932;0.777000;17.753833
0.627387;0.781166;0.778500;17.802628
0.609800;0.779907;0.779000;17.646596
0.619503;0.779705;0.778500;18.075011
0.611014;0.779270;0.780000;20.648164
0.624120;0.779167;0.779000;20.852873
0.619145;0.778281;0.779000;20.147184
0.613750;0.778153;0.779000;20.626727
0.629879;0.777130;0.780500;20.946736
0.605417;0.778098;0.779500;20.916686
0.619641;0.776849;0.779000;21.530231
0.615686;0.778234;0.779000;22.156317
0.613030;0.776526;0.780000;21.393028
0.614131;0.776840;0.779500;21.304407
0.628385;0.777372;0.780000;20.745518
0.608340;0.776429;0.778500;19.758430
