training_loss;validation_loss;validation_accuracy;epoch_time
0,768322;0,721712;0,789500;17,192654
0,549458;0,707258;0,801000;17,221600
0,540616;0,722487;0,798500;17,165993
0,536767;0,720667;0,795000;16,998280
0,531912;0,712331;0,800500;16,879926
0,525276;0,708804;0,802500;17,031596
0,524307;0,711897;0,798000;17,355478
0,507762;0,713642;0,795500;16,906363
0,521067;0,703332;0,804000;17,204658
0,514499;0,714344;0,800500;16,934717
0,511362;0,719171;0,801000;17,031112
0,506230;0,715910;0,800000;17,148876
0,511898;0,709349;0,802500;17,021792
0,502703;0,724891;0,804500;16,991461
0,495143;0,712917;0,805500;17,178311
0,499600;0,720537;0,798000;16,978909
0,510411;0,725289;0,798000;17,149913
0,500512;0,716218;0,803500;16,878833
0,513345;0,715588;0,799000;17,180463
0,494712;0,714885;0,806500;17,146090
0,512405;0,733027;0,800000;16,899062
0,519557;0,711435;0,802500;17,037838
0,502466;0,715777;0,802000;16,869642
0,494635;0,716484;0,799500;17,012556
0,510863;0,716835;0,801000;17,144868
0,497845;0,715629;0,800000;16,879953
0,494430;0,723037;0,798500;16,971929
0,504617;0,712322;0,802500;17,148609
0,508588;0,717227;0,805500;16,960345
0,489750;0,711502;0,805500;17,145668
0,505465;0,722954;0,802500;16,950353
0,494360;0,732766;0,800000;16,961978
0,491602;0,718938;0,799500;17,153357
0,498671;0,706766;0,808000;17,045076
0,497034;0,700645;0,809500;16,888262
0,493425;0,704307;0,804500;17,154284
0,477531;0,718318;0,803000;16,926273
0,492092;0,716267;0,801000;17,143862
0,481945;0,706112;0,805000;16,985282
0,498455;0,723955;0,806500;17,064588
0,500580;0,725615;0,800500;16,974141
0,478462;0,716803;0,802000;17,148272
0,494031;0,714961;0,802000;16,985244
0,483891;0,716423;0,801000;17,095347
0,471887;0,718590;0,801500;16,974336
0,480097;0,721710;0,802000;17,141556
0,482071;0,733176;0,801500;17,011331
0,488566;0,718693;0,804000;16,969172
0,478854;0,722110;0,798500;17,082377
0,492790;0,712296;0,806500;17,134780
0,497945;0,733082;0,801000;17,052835
0,470534;0,723005;0,799500;17,036760
0,485107;0,720938;0,802000;17,191731
0,486486;0,718197;0,794500;17,015076
0,477112;0,721141;0,803000;17,050643
0,489074;0,724160;0,807000;17,023036
0,496941;0,716527;0,806500;17,150159
0,482933;0,729681;0,801000;16,878253
0,481262;0,722992;0,801500;17,058305
0,473983;0,719716;0,804500;17,042867
0,474898;0,716148;0,803000;16,975780
0,479608;0,718352;0,803000;17,104354
0,475635;0,720943;0,804000;17,007990
0,474476;0,731423;0,802500;17,172702
0,484796;0,727583;0,804000;17,088015
0,483215;0,731582;0,802000;16,929553
0,475313;0,732408;0,799500;17,049080
0,469077;0,720889;0,808500;17,050655
0,474866;0,733152;0,797000;17,059517
0,492498;0,727605;0,801500;16,888144
0,489049;0,728302;0,809500;17,144578
0,470300;0,731489;0,800000;16,934221
0,466953;0,725199;0,804000;16,991744
0,475069;0,730467;0,800500;17,050827
0,487699;0,720354;0,804000;17,117700
0,469411;0,717907;0,809500;17,117639
0,478022;0,721386;0,807500;16,929628
0,473176;0,725312;0,809000;17,164513
0,486858;0,732221;0,803500;16,902054
0,473012;0,734434;0,804500;17,146192
0,485750;0,728782;0,809000;16,889449
0,467602;0,719885;0,806000;17,200340
0,482678;0,728663;0,801500;17,137273
0,476208;0,728404;0,805000;16,929667
0,475223;0,726991;0,807000;17,152903
0,478201;0,720886;0,804500;17,052882
0,462948;0,732274;0,807000;16,920546
0,482733;0,733143;0,804000;17,143077
0,476079;0,730290;0,796000;16,913852
0,497660;0,724372;0,806000;17,194917
0,459659;0,720790;0,807000;17,148698
0,462150;0,731587;0,809500;16,940036
0,462034;0,723590;0,809000;17,032278
0,459233;0,735125;0,806500;17,143706
0,465618;0,725316;0,802000;16,924998
0,456740;0,740589;0,807000;17,183776
0,479891;0,728726;0,804000;17,044146
0,472872;0,741369;0,804000;16,976581
0,466143;0,725929;0,802000;17,052313
0,466325;0,724659;0,808000;17,068358
